,HIGH RATED EXAMPLES,
,Film DNA,Estimated rating
0,"AristocratsAreEvil, AwfulWeddedLife, BodyguardBabes, CantStopTheSignal, DeadpanSnarker, DuelToTheDeath, DumbassNoMore, DutchAngle, HeroWithBadPublicity, ImpairmentShot, InTheBack, LanguageBarrier, LetTheBossWin, SecretTestOfCharacter, SliceOfLife, TalkingHeads, ThanksForTheMammary, TheKenBurnsEffect, TruthinTelevision, VerbalBusinessCard, WhatHappenedtoTheMouse, WhereAreTheyNowEpilogue, [GENRE]Biography, [GENRE]Crime, [GENRE]Documentary, [GENRE]Drama, [GENRE]Film-Noir, [GENRE]History, [GENRE]War, [GENRE]Western",10.947614011868971
1,"AmnesiaLoop, BaitAndSwitch, ChekhovsGun, Chiaroscuro, CreepyChild, DivorceRequiresDeath, DutchAngle, EvilKnockoffs, ExtremelyShortTimespan, FaceFramedInShadow, GilliganCut, InfantImmortality, ItsTheJourneyThatCounts, MidairBobbing, PluckyGirl, RapePortrayedAsRedemption, ReportsOfMyDeathWereGreatlyExaggerated, SliceOfLife, SociallyAwkwardHero, SplashOfColor, StylisticSuck, TalkingHeads, TropeCodifier, WireFu, [GENRE]Documentary, [GENRE]Drama, [GENRE]Musical, [GENRE]Romance, [GENRE]War, [GENRE]Western",10.799606057408385
2,"AdaptationalAttractiveness, ArmorPiercingQuestion, BandOfRobbers, BigLittleBrother, DamnItFeelsGoodToBeAGangster, DawnOfAnEra, DiscussedTrope, EvilDetectingDog, FaceFramedInShadow, Foreshadowing, GodwinsLaw, HumansAreBastards, MediumBlending, MindVirus, OffIntoTheDistanceEnding, PunyEarthlings, RealLife, SickCaptiveScam, SliceOfLife, TheEndingChangesEverything, TropeCodifier, UglySlavicWomen, UrExample, [GENRE]Biography, [GENRE]Crime, [GENRE]Documentary, [GENRE]Drama, [GENRE]Musical, [GENRE]Romance, [GENRE]Western",10.674976036541391
3,"AgonyOfTheFeet, AngryBlackMan, BigDamnHeroes, BitchInSheepsClothing, CallBack, CoincidentalBroadcast, CutSong, DiagonalCut, DrivingADesk, EvilCostumeSwitch, EvilFeelsGood, FollowThatCar, FramingDevice, HappilyMarried, LikeASonToMe, MatchCut, MundaneUtility, PragmaticAdaptation, SecretHandshake, StopMotion, TheVoice, VirginPower, WhereAreTheyNowEpilogue, [GENRE]Biography, [GENRE]Documentary, [GENRE]Drama, [GENRE]Film-Noir, [GENRE]History, [GENRE]Musical, [GENRE]Western",10.638689318534226
4,"AlienBlood, AuteurLicence, BittersweetEnding, CreatorCameo, DutchAngle, FinishingStomp, ForScience, GenghisGambit, GilliganCut, GotVolunteered, ItWasHereISwear, LawProcedural, LiteralAssKicking, MacFarlane, MechanicalHorse, PacifistDojo, SameLanguageDub, ThePowerOfLove, TheoryOfNarrativeCausality, TropeMaker, TwoPersonLoveTriangle, YoungerThanTheyLook, [GENRE]Crime, [GENRE]Documentary, [GENRE]Drama, [GENRE]Film-Noir, [GENRE]History, [GENRE]Romance, [GENRE]War, [GENRE]Western",10.575019731529839
5,"BriefcaseFullOfMoney, CountryMouse, DeliberatelyMonochrome, Documentary, DuelToTheDeath, EstablishingCharacterMoment, ExtremelyShortTimespan, FaceFramedInShadow, FingerTwitchingRevival, HollywoodMagnetism, IfYouWontIWill, ImpliedDeathThreat, KnightTemplar, LastRequest, ManipulativeEditing, MatchCut, NouveauRiche, PleasePutSomeClothesOn, PresentCompanyExcluded, SliceOfLife, StopMotion, TrapDoor, UsurpingSanta, WhenTheClockStrikesTwelve, WouldHarmAChild, [GENRE]Biography, [GENRE]Documentary, [GENRE]Drama, [GENRE]War, [GENRE]Western",10.498729290135898
6,"AppropriatedTitle, AwfulWeddedLife, Chiaroscuro, ContinuityCameo, EarnYourHappyEnding, EveryCarIsAPinto, LibertyOverProsperity, LikeASonToMe, LiteralAssKicking, MathematiciansAnswer, MiddleNameBasis, MoralityKitchenSink, NorseByNorsewest, OffIntoTheDistanceEnding, ScreamingWoman, ShellShockedVeteran, SliceOfLife, SoftWater, TalkingHeads, TheKenBurnsEffect, ThePowerOfLove, TrapDoor, YiddishAsASecondLanguage, [GENRE]Crime, [GENRE]Drama, [GENRE]History, [GENRE]Musical, [GENRE]Romance, [GENRE]War, [GENRE]Western",10.445005367204217
7,"AbandonedHospitalAwakening, AloneInACrowd, ArrangedMarriage, AwfulWeddedLife, BloodIsSquickerInWater, BriefcaseFullOfMoney, BuddyCopShow, CuteMonsterGirl, DeliberatelyMonochrome, FantasyHelmetEnforcement, FinalBattle, IncomingHam, InterrogationFlashback, JapaneseDelinquents, JumpOffTheSlipperySlope, KatanasAreJustBetter, LiteralAssKicking, MidairBobbing, NoMacGuffinNoWinner, OffIntoTheDistanceEnding, SilenceIsGolden, UntranslatedTitle, [GENRE]Biography, [GENRE]Documentary, [GENRE]Film-Noir, [GENRE]History, [GENRE]Musical, [GENRE]Romance, [GENRE]War, [GENRE]Western",10.411949343190173
8,"AmateurCast, CatchPhrase, Chiaroscuro, ComingOfAgeStory, CreepyChild, EvilOldFolks, ForDoomTheBellTolls, FourEyesZeroSoul, ItsGoingDown, LiteralAssKicking, LoveGoddess, MeetCute, Mockumentary, NameOrderConfusion, NuclearNasty, RayOfHopeEnding, ReligiousHorror, SacrificialLamb, SequentialBoss, SilenceIsGolden, UntranslatedTitle, VeryLooselyBasedOnATrueStory, VichyEarth, VideoCredits, [GENRE]Documentary, [GENRE]Drama, [GENRE]Film-Noir, [GENRE]Music, [GENRE]Mystery, [GENRE]Western",10.334114326011822
9,"AlternateHistoryWank, BerserkBoardBarricade, ChildSoldiers, DutchAngle, ExtremelyShortTimespan, FakeOutOpening, Fratbro, HairReboot, HammerTime, HighPressureBlood, LowestCommonDenominator, MentalWorld, NotAGame, OffIntoTheDistanceEnding, PersecutedIntellectuals, ScoobyDooHoax, SilenceIsGolden, SliceOfLife, StopMotion, SurrealHorror, TheOldConvict, ThisIsMyNameOnForeign, TrapDoor, VelvetRevolution, [GENRE]Documentary, [GENRE]Drama, [GENRE]Film-Noir, [GENRE]Musical, [GENRE]War, [GENRE]Western",10.310729318300222
,,
,RANDOM EXAMPLES,
,Film DNA,Estimated rating
0,"RecruitTeenagersWithAttitude, ReverseWhoDunnit, DraftDodging, AmericanTitle, FourElementEnsemble, PremortemOneLiner, ListingTheFormsOfDegenerates, TitleRequiem, BiggerBad, ProxyWar, OpeningGambit, CreepyLongFingers, InternalReveal, UngratefulBitch, SuicideMission, TheCallKnowsWhereYouLive, RetConned, EskimosArentReal, ExternalConsistency, FamilyUnfriendlyViolence, FieldTripToThePast, GuardianAngel, OneMarioLimit, SantaCon, DoorClosesEnding, JerkWithAHeartofJerk, ItsThePrincipleOfTheThing, DevelopmentHell, DoomedContrarian, ReclaimedByNature",5.648102149016365
1,"DebutQueue, ScrewTheWarWerePartying, SawAWomanInHalf, SteampunkGadgeteers, Nephilim, TakeOverTheCity, SpeaksInShoutouts, ThatsGottaHurt, FiveFingerDiscount, UnstoppableForceMeetsImmovableObject, SleepyHead, Popeye, FetishFuelFuture, StoneWall, LiveActionEscortMission, PeekABangs, NostrilShot, NoOneIsIndispensable, EverythingsBetterWithCows, SplitPersonalityMakeover, TheBlank, Bridezilla, SinInvitesPossession, RailEnthusiast, TentacleRope, Magitek, ArchaeologicalArmsRace, GreaseMonkey, ItTastesLikeFeet, ObsessedAreTheListmakers",5.656046351811571
2,"YouCouldHaveUsedYourPowersForGood, HouseOfBrokenMirrors, MorePredatorsThanPrey, KangarooPouchRide, RuleNumberOne, ThanksForTheMammaries, Crunchtastic, BoltofDivineRetribution, ConMenHateGuns, MookLieutenant, TheMainCharactersDoEverything, MagicalGothGirl, OpeningCreditsCastParty, AbandonedHospital, LoveDodecahedron, CompressedVice, LadyInRed, GamerChick, PrimalFear, ARealManIsAKiller, TheChainOfHarm, KarmicTwistEnding, CoolCrown, TheWebAlwaysExisted, WolfTropes, HeIsAllGrownUp, PowerfulPeopleAreSubs, ThemeMusicPowerUp, Gaslighting, MultinationalTeam",5.727339679971224
3,"FawltyTowersPlot, Realpolitik, InsultBackFire, BeQuietNudge, CaptainErsatz, InvincibleHero, TreasureIsBiggerInFiction, HurtFootHop, DirtyHarriet, GimmickMatches, RebelliousPrincess, MutilationInterrogation, GrapplingHookPistol, TonsOfTeeth, TheHeart, Defictionalisation, BanOnAI, Flopsy, BasementDweller, SuperVillainLair, SexyCatPerson, SeinfeldianConversation, DebateAndSwitch, VirtualReality, HomericHash, KickTheDog, PrayerPose, TunnelNetwork, RankUp, BrokeEpisode",5.586055740430001
4,"EvilTwin, WinstonChurchill, LoadBearingHero, TheTurretMaster, BarefootCartoonAnimal, ColorCodedPatrician, PerishingAltRockVoice, JesusTheEarlyYears, TropesAretools, NeverHeardThatOneBefore, DroppedABridgeOnHim, Emoticon, LivingLieDetector, OneTruePairing, MessageInABottle, EmotionalTorque, GluttonyMontage, Jaccuse, SpinOff, MateOrDie, KillSteal, WithAllDueRespect, YouWouldntLikeMeWhenImAngry, RussianGuySuffersMost, SpritePolygonMix, ConvenientComa, PollyWantsAMicrophone, SmallRoleBigImpact, BoozeBasedBuff, HeroicBuild",5.3870692050934075
